City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
437,Udachnyy,66.4167,112.4,44.46,100,100,18.12,RU,2022-08-02 21:21:38,light rain
438,Booue,-0.0921,11.9385,80.31,54,72,5.37,GA,2022-08-02 21:21:39,broken clouds
439,Chulman,56.8479,124.9104,57.92,94,77,2.28,RU,2022-08-02 21:21:39,broken clouds
440,Rudnyy,52.9594,63.1206,57.43,78,86,9.04,KZ,2022-08-02 21:21:39,overcast clouds
441,Marsa Matruh,31.3525,27.2453,79.84,74,0,6.17,EG,2022-08-02 21:21:39,clear sky
442,Dasoguz,41.8363,59.9666,80.55,36,0,11.5,TM,2022-08-02 21:21:40,clear sky
443,Rayachoti,14.05,78.75,79.54,78,97,1.99,IN,2022-08-02 21:21:40,overcast clouds
444,Vilhena,-12.7406,-60.1458,86.22,37,0,6.91,BR,2022-08-02 21:21:40,clear sky
445,Aleksandrovskoye,44.7142,43.0008,73.72,45,15,8.16,RU,2022-08-02 21:21:41,few clouds
446,Matara,5.9485,80.5353,76.44,87,100,19.69,LK,2022-08-02 21:21:41,overcast clouds
447,Sojat,25.9167,73.6667,82.33,75,100,7.92,IN,2022-08-02 21:21:42,overcast clouds
448,Mahibadhoo,3.7833,72.9667,82.0,74,100,20.4,MV,2022-08-02 21:16:47,overcast clouds
449,Pevek,69.7008,170.3133,35.78,99,100,8.43,RU,2022-08-02 21:21:42,moderate rain
450,Bonfim,3.0833,-59.95,84.11,74,70,4.83,BR,2022-08-02 21:21:43,moderate rain
451,Amberley,39.2048,-84.428,89.06,59,0,12.66,US,2022-08-02 21:22:43,clear sky
452,Nouakchott,18.0858,-15.9785,80.53,82,28,12.75,MR,2022-08-02 21:22:43,scattered clouds
453,Bayburt,40.2589,40.2278,60.3,89,6,1.81,TR,2022-08-02 21:22:44,clear sky
454,San Patricio,28.017,-97.5169,101.16,42,10,20.6,US,2022-08-02 21:22:44,clear sky
455,Grand Gaube,-20.0064,57.6608,68.4,76,0,3.0,MU,2022-08-02 21:22:44,clear sky
456,Bissau,11.8636,-15.5977,77.11,94,20,2.3,GW,2022-08-02 21:22:45,thunderstorm
457,Moranbah,-22.0016,148.0466,58.03,89,4,7.83,AU,2022-08-02 21:22:45,clear sky
458,Monzon,41.9108,0.1941,85.42,50,0,9.24,ES,2022-08-02 21:22:45,clear sky
459,Mbigou,-1.9005,11.906,70.27,73,92,5.77,GA,2022-08-02 21:22:45,overcast clouds
460,Sibu,2.3,111.8167,75.51,88,40,3.44,MY,2022-08-02 21:22:46,scattered clouds
461,Belmonte,-15.8631,-38.8828,72.21,81,10,5.95,BR,2022-08-02 21:22:46,clear sky
462,Bonnyville,54.2668,-110.735,60.12,86,100,12.21,CA,2022-08-02 21:22:46,overcast clouds
463,Hasilpur,29.7122,72.5553,92.32,53,20,6.67,PK,2022-08-02 21:22:47,few clouds
464,Taclobo,12.3074,122.586,82.42,77,97,5.7,PH,2022-08-02 21:22:47,overcast clouds
465,Rapid Valley,44.0625,-103.1463,95.63,22,0,17.27,US,2022-08-02 21:18:21,clear sky
466,Alice,27.7523,-98.0697,100.29,41,40,21.85,US,2022-08-02 21:22:48,scattered clouds
467,Atar,20.5169,-13.0499,95.45,31,7,11.41,MR,2022-08-02 21:22:48,clear sky
468,Superior,46.7208,-92.1041,79.45,78,100,11.5,US,2022-08-02 21:22:48,overcast clouds
469,Sorong,-0.8833,131.25,76.71,89,100,6.96,ID,2022-08-02 21:22:49,overcast clouds
470,Lagoa,39.05,-27.9833,74.32,82,3,15.32,PT,2022-08-02 21:22:49,clear sky
471,Bom Jardim,-7.7958,-35.5872,69.8,96,100,3.47,BR,2022-08-02 21:22:50,overcast clouds
472,San Quintin,30.4833,-115.95,77.13,65,67,14.83,MX,2022-08-02 21:22:50,broken clouds
473,Batagay-Alyta,67.8006,130.4114,47.32,87,100,4.68,RU,2022-08-02 21:19:21,overcast clouds
474,Lavrentiya,65.5833,-171.0,56.53,55,4,9.91,RU,2022-08-02 21:22:50,clear sky
475,Inuvik,68.3499,-133.7218,61.56,67,75,10.36,CA,2022-08-02 21:18:55,broken clouds
476,Byron Bay,-28.65,153.6167,52.95,83,92,2.53,AU,2022-08-02 21:21:15,overcast clouds
477,Emerald,-23.5333,148.1667,55.35,95,20,7.61,AU,2022-08-02 21:22:51,few clouds
478,Barahona,18.2085,-71.1008,89.42,70,20,23.02,DO,2022-08-02 21:22:52,few clouds
479,Moree,-29.4667,149.85,54.63,55,100,9.53,AU,2022-08-02 21:22:52,overcast clouds
480,Padang,-0.9492,100.3543,75.69,93,100,4.7,ID,2022-08-02 21:22:52,overcast clouds
481,Thinadhoo,0.5333,72.9333,80.17,77,78,12.41,MV,2022-08-02 21:21:14,broken clouds
482,Mandalgovi,45.7625,106.2708,70.14,54,4,4.61,MN,2022-08-02 21:22:53,clear sky
483,Evensk,61.95,159.2333,52.66,95,100,3.69,RU,2022-08-02 21:22:53,light rain
484,La Asuncion,11.0333,-63.8628,87.53,70,21,19.57,VE,2022-08-02 21:22:53,few clouds
485,Batemans Bay,-35.7167,150.1833,56.1,54,96,10.56,AU,2022-08-02 21:22:54,overcast clouds
486,Zyryanka,65.75,150.85,62.69,91,100,14.05,RU,2022-08-02 21:22:54,light rain
487,Mariana,-20.3778,-43.4161,71.62,50,80,2.98,BR,2022-08-02 21:22:54,broken clouds
488,Coffs Harbour,-30.3,153.1333,55.36,82,100,9.22,AU,2022-08-02 21:22:55,overcast clouds
489,Kloulklubed,7.0419,134.2556,75.7,70,100,9.04,PW,2022-08-02 21:22:55,overcast clouds
490,Tornio,65.8481,24.1466,59.02,87,1,9.22,FI,2022-08-02 21:22:55,clear sky
491,Nishihara,26.1842,127.7558,81.68,89,20,2.3,JP,2022-08-02 21:22:55,few clouds
492,Dongying,37.4564,118.4856,81.86,77,22,3.98,CN,2022-08-02 21:22:56,few clouds
